epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,126.371,1.03976,0.6143,1,0.78914,0.00031438,0.00031438,0.00031438
2,272.867,0.69765,0.91138,1,0.33957,0.000579388,0.000579388,0.000579388
3,392.874,0.39443,0.9426,1,0.18861,0.000779319,0.000779319,0.000779319
4,504.074,0.27934,0.93756,1,0.18243,0.000914174,0.000914174,0.000914174
5,622.736,0.21178,0.94058,1,0.14454,0.000863116,0.000863116,0.000863116
6,662.363,0.20615,0.94361,1,0.1374,0.000721645,0.000721645,0.000721645
7,681.068,0.15171,0.95267,1,0.11853,0.000580174,0.000580174,0.000580174
8,697.207,0.13001,0.94361,1,0.12789,0.000438703,0.000438703,0.000438703
9,713.31,0.10142,0.9426,1,0.14147,0.000297232,0.000297232,0.000297232
10,732.357,0.17763,0.93454,1,0.15126,0.000155761,0.000155761,0.000155761
